
 1700611433.7926433; Info ; Radar stopped
 1700611434.0012336; Info ; Radar stopped
 1700611434.210049; Info ; Radar stopped
 1700611434.4188845; Info ; Radar stopped
 1700611434.6378107; Info ; Camera stopped recording
 1700611438.3236172; Info ; Radar stopped
 1700611438.532903; Info ; Radar stopped
 1700611438.7420232; Info ; Radar stopped
 1700611438.8886247; Info ; Camera started recording
 1700611438.950862; Info ; Radar stopped
 1700611439.1595628; Info ; Radar stopped
 1700611439.368107; Info ; Radar stopped
 1700611439.576594; Info ; Radar stopped
 1700611439.7850869; Info ; Radar stopped
 1700611439.9935558; Info ; Radar stopped
 1700611440.2021718; Info ; Radar stopped
 1700611440.4106665; Info ; Radar stopped
 1700611440.6191692; Info ; Radar stopped
 1700611440.8277514; Info ; Radar stopped
 1700611441.0362709; Info ; Radar stopped
 1700611441.2449272; Info ; Radar stopped
 1700611441.4534745; Info ; Radar stopped
 1700611441.661986; Info ; Radar stopped
 1700611441.8704712; Info ; Radar stopped
 1700611442.042342; Info ; Camera stopped recording
 1700619003.2508028; Info ; Camera started recording
 1700619004.1381326; Info ; Camera stopped recording
 1700619006.901759; Info ; Camera started recording
 1700619007.4612124; Info ; Camera stopped recording
 1700619021.8381832; Info ; Camera started recording
 1700619022.0889108; Error ; Failed to open device '2676:ba05:10:4:2' for XML file download. Error: 'Device is exclusively opened by another client.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 497)
 1700619022.1708632; Info ; Camera stopped recording
 1700619044.9114635; Info ; Camera started recording
 1700619044.958887; Info ; Camera stopped recording
 1700619046.1414914; Info ; Camera started recording
 1700619046.198183; Info ; Camera stopped recording
 1700619047.6372805; Info ; Camera started recording
 1700619049.3769064; Info ; Camera stopped recording
 1700619055.8238778; Info ; Camera started recording
 1700619062.3668315; Info ; Camera stopped recording
 1700619072.1600988; Info ; Camera started recording
 1700619072.5017245; Info ; Camera stopped recording
 1700619087.6924314; Info ; Camera started recording
 1700619087.9541779; Info ; Camera stopped recording
 1700619090.7461333; Info ; Camera started recording
 1700619090.7888618; Info ; Camera stopped recording
 1700619095.6449835; Info ; Camera started recording
 1700619096.0856867; Info ; Camera stopped recording
 1700619106.1176877; Info ; Camera started recording
 1700619106.1655385; Info ; Camera stopped recording
 1700619107.289267; Info ; Camera started recording
 1700619107.329076; Info ; Camera stopped recording
 1700619108.2821789; Info ; Camera started recording
 1700619108.3217764; Info ; Camera stopped recording
 1700619109.262879; Info ; Camera started recording
 1700619109.3094127; Info ; Camera stopped recording
 1700619110.2584653; Info ; Camera started recording
 1700619110.4588103; Info ; Camera stopped recording
 1700619110.5535514; Error ; Failed to open device '2676:ba05:10:4:2' for XML file download. Error: 'Device is exclusively opened by another client.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 497)
 1700619111.8374658; Info ; Camera started recording
 1700619112.0166628; Info ; Camera stopped recording
 1700619116.74155; Info ; Camera started recording
 1700619118.5345583; Info ; Camera stopped recording
 1700619120.4268544; Info ; Camera started recording
 1700619121.7898798; Info ; Camera stopped recording
 1700619127.24186; Error ; Failed to open device '2676:ba05:10:4:2' for XML file download. Error: 'Device is exclusively opened by another client.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 497)
 1700619129.0207417; Info ; Camera started recording
 1700619129.386668; Info ; Camera stopped recording
 1700619130.928443; Info ; Camera started recording
 1700619130.9743435; Info ; Camera stopped recording
 1700619133.084844; Info ; Camera started recording
 1700619133.136219; Info ; Camera stopped recording
 1700619134.4688482; Info ; Camera started recording
 1700619134.5053961; Info ; Camera stopped recording
 1700619483.3897326; Info ; Camera started recording
 1700619484.1412785; Info ; Camera stopped recording
 1700619487.175354; Info ; Camera started recording
 1700619488.6825728; Info ; Camera stopped recording
 1700619492.1882832; Info ; Camera started recording
 1700619493.2309048; Info ; Camera stopped recording
 1700619496.363364; Info ; Camera started recording
 1700619496.8806748; Info ; Camera stopped recording
 1700619499.2185645; Info ; Camera started recording
 1700619500.026716; Info ; Camera stopped recording
 1700619503.7293017; Info ; Camera started recording
 1700619504.4203753; Info ; Camera stopped recording
 1700619506.7259953; Info ; Camera started recording
 1700619507.2392368; Info ; Camera stopped recording
 1700619509.513934; Info ; Camera started recording
 1700619509.8061314; Info ; Camera stopped recording
 1700619512.004922; Info ; Camera started recording
 1700619513.0388865; Info ; Camera stopped recording
 1700619521.5112534; Info ; Camera started recording
 1700619523.3814092; Info ; Camera stopped recording
 1700619528.4429955; Info ; Camera started recording
 1700619529.1310544; Info ; Camera stopped recording
 1700619532.0222957; Info ; Camera started recording
 1700619532.1959414; Info ; Camera stopped recording
 1700619535.963019; Info ; Camera started recording
 1700619536.6959543; Info ; Camera stopped recording
 1700619539.418055; Info ; Camera started recording
 1700619540.1104994; Info ; Camera stopped recording
 1700619543.2813687; Info ; Camera started recording
 1700619544.342383; Info ; Camera stopped recording
 1700619547.4278803; Info ; Camera started recording
 1700619548.143386; Info ; Camera stopped recording
 1700619550.731263; Info ; Camera started recording
 1700619551.551981; Info ; Camera stopped recording
 1700619554.3151183; Info ; Camera started recording
 1700619555.0815682; Info ; Camera stopped recording
 1700619558.0264697; Info ; Camera started recording
 1700619559.0221896; Info ; Camera stopped recording
 1700619562.5451639; Info ; Camera started recording
 1700619563.6326225; Info ; Camera stopped recording
 1700619566.7270591; Info ; Camera started recording
 1700619567.5071769; Info ; Camera stopped recording
 1700619570.1399128; Info ; Camera started recording
 1700619571.0165806; Info ; Camera stopped recording
 1700619573.4355948; Info ; Camera started recording
 1700619574.0270672; Info ; Camera stopped recording
 1700619576.4594033; Info ; Camera started recording
 1700619577.7032027; Info ; Camera stopped recording
 1700619580.0890272; Info ; Camera started recording
 1700619581.137243; Info ; Camera stopped recording
 1700619584.0893888; Info ; Camera started recording
 1700619598.420588; Info ; Camera stopped recording
 1700619600.7705574; Info ; Camera started recording
 1700619618.9716156; Info ; Camera stopped recording
 1700619620.6862402; Info ; Camera started recording
 1700619623.040061; Info ; Camera stopped recording
 1700619624.9436343; Info ; Camera started recording
 1700619628.4603035; Info ; Camera stopped recording
 1700619630.481296; Info ; Camera started recording
 1700619634.9216251; Info ; Camera stopped recording
 1700619638.1409092; Info ; Camera started recording
 1700619640.2854354; Info ; Camera stopped recording
 1700619643.0871542; Info ; Camera started recording
 1700619646.3206615; Info ; Camera stopped recording
 1700619649.3137689; Info ; Camera started recording
 1700619650.7201536; Info ; Camera stopped recording
 1700619666.8381395; Info ; Camera started recording
 1700619672.6524963; Info ; Camera stopped recording
 1700619676.0679991; Info ; Camera started recording
